[2022-09-29 20:34:15 +0000] [1] [INFO] Starting gunicorn 20.1.0
[2022-09-29 20:34:15 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
[2022-09-29 20:34:15 +0000] [1] [INFO] Using worker: sync
[2022-09-29 20:34:15 +0000] [7] [INFO] Booting worker with pid: 7
[2022-09-29 20:34:15 +0000] [8] [INFO] Booting worker with pid: 8
2022-09-29 20:34:23,691 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:23,993 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:24,029 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:24,060 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:24,137 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:24,165 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:24,199 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:24,226 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:24,255 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:24,285 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:24,315 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:24,361 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:24,365 | INFO | 8 | views.py:index:7 | hello
2022-09-29 20:34:24,391 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:24,649 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:24,682 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:24,710 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:24,740 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:24,769 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:24,795 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:24,880 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:24,912 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:24,942 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:24,972 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:25,006 | INFO | 8 | views.py:index:7 | hello
2022-09-29 20:34:25,248 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:25,352 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:25,385 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:25,417 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:25,447 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:25,475 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:25,505 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:25,537 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:25,570 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:25,612 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:25,644 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:25,676 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:25,875 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:25,904 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:25,932 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:25,966 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:25,997 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:26,029 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:26,061 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:26,089 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:26,126 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:26,160 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:26,186 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:26,372 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:26,401 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:26,433 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:26,464 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:26,493 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:26,524 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:26,554 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:26,601 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:26,632 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:26,662 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:26,696 | INFO | 8 | views.py:index:7 | hello
2022-09-29 20:34:27,077 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:27,133 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:27,165 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:27,196 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:27,224 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:27,256 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:27,288 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:27,317 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:27,352 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:27,384 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:27,413 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:27,562 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:27,594 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:27,622 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:27,648 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:27,687 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:27,716 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:27,741 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:27,768 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:27,802 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:27,830 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:27,856 | INFO | 7 | views.py:index:9 | dummy log message 1
/opt/demo/.venv/lib/python3.9/site-packages/watchtower/__init__.py:345: WatchtowerWarning: Failed to deliver logs: None
  warnings.warn("Failed to deliver logs: {}".format(response), WatchtowerWarning)
2022-09-29 20:34:27,972 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:28,250 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:28,278 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:28,306 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:28,335 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:28,368 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:28,400 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:28,430 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:28,459 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:28,490 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:28,524 | INFO | 8 | views.py:index:7 | hello
2022-09-29 20:34:28,554 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:28,799 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:28,830 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:28,863 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:28,897 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:28,929 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:28,960 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:28,990 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:29,017 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:29,052 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:29,082 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:29,113 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:29,531 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:29,565 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:29,598 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:29,625 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:29,652 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:29,678 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:29,706 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:29,740 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:29,772 | INFO | 7 | views.py:index:7 | hello
2022-09-29 20:34:29,802 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:29,835 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:29,974 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 20:34:30,005 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:30,037 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:30,067 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:30,099 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 20:34:30,129 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 20:34:30,160 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 20:34:30,222 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 20:34:30,252 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 20:34:30,286 | INFO | 8 | views.py:index:7 | hello
2022-09-29 20:34:30,316 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 20:34:30,588 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 20:34:30,620 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 20:34:30,648 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 20:34:30,680 | INFO | 7 | views.py:index:9 | dummy log message 5
