[2022-09-29 21:03:24 +0000] [1] [INFO] Starting gunicorn 20.1.0
[2022-09-29 21:03:24 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
[2022-09-29 21:03:24 +0000] [1] [INFO] Using worker: sync
[2022-09-29 21:03:24 +0000] [7] [INFO] Booting worker with pid: 7
[2022-09-29 21:03:25 +0000] [8] [INFO] Booting worker with pid: 8
2022-09-29 21:03:44,144 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:44,278 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:44,313 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:44,345 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:44,378 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:44,434 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:44,479 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:44,785 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:44,811 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:44,840 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:44,870 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:44,899 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:44,930 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:44,960 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:44,987 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:45,016 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:45,050 | INFO | 8 | views.py:index:7 | hello
2022-09-29 21:03:45,081 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:45,394 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:45,426 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:45,535 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:45,567 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:45,597 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:45,627 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:45,656 | INFO | 7 | views.py:index:9 | dummy log message 7
/opt/demo/.venv/lib/python3.9/site-packages/watchtower/__init__.py:345: WatchtowerWarning: Failed to deliver logs: None
  warnings.warn("Failed to deliver logs: {}".format(response), WatchtowerWarning)
2022-09-29 21:03:45,709 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:45,725 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:45,756 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:45,791 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:45,844 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:45,875 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:46,027 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:46,058 | INFO | 8 | views.py:index:9 | dummy log message 3
